Fecha,Hora,Router,Area,Carga (Mbps),Descarga (Mbps),Calidad de conexión,Promedio (Mbps)
2023-10-03,11:00,14,AULA 39,7.06,5.36,Mala,6.21
2023-10-03,11:00,15,AULA 1,6.06,7.76,Media,6.91
2023-10-03,11:00,15,AULA 2,5.53,9.68,Buena,7.605
2023-10-03,09:00,15,AULA 3,4.53,4.65,Mala,4.59
2023-10-03,11:00,15,Enfermeria,6.45,6.06,Media,6.255
2023-10-03,12:00,16,AULA 4,4.74,6.83,Media,5.785
2023-10-03,16:00,16,AULA 5,7.49,4.64,Mala,6.0649999999999995
2023-10-03,15:00,16,AULA 6,7.0,4.91,Mala,5.955
2023-10-03,10:00,17,AULA 7,8.77,7.55,Media,8.16
2023-10-03,13:00,17,AULA 8,8.1,6.14,Media,7.119999999999999
2023-10-03,11:00,17,AULA 9,6.01,9.73,Buena,7.87
2023-10-03,14:00,18,AULA 10,5.78,7.92,Media,6.85
2023-10-03,13:00,18,AULA 11,9.28,5.26,Mala,7.27
2023-10-03,16:00,18,INGLES,8.39,6.75,Media,7.57
2023-10-03,14:00,19,VINCULACION,6.15,7.91,Media,7.03
2023-10-03,09:00,20,AULA 12,6.81,6.05,Media,6.43
2023-10-03,10:00,20,AULA 13,9.78,9.78,Buena,9.78
2023-10-03,15:00,21,AULA 14,8.9,6.46,Media,7.68
2023-10-03,10:00,22,AULA 15,9.55,7.01,Media,8.280000000000001
2023-10-03,13:00,23,AULA 16,5.38,4.71,Mala,5.045
2023-10-03,12:00,24,DIRECCION GENERAL,9.31,5.9,Mala,7.605
2023-10-04,14:00,1,Sala A,6.47,7.66,Media,7.0649999999999995
2023-10-04,16:00,1,Sala C,4.79,4.78,Mala,4.785
2023-10-04,16:00,2,Sala D,9.82,6.37,Media,8.095
2023-10-04,12:00,2,Sala B,6.04,6.55,Media,6.295
2023-10-04,12:00,3,Recepcion,7.85,7.33,Media,7.59
2023-10-04,12:00,3,Sala de maestros,4.52,7.5,Media,6.01
2023-10-04,13:00,3,Sala E,8.42,5.26,Mala,6.84
2023-10-04,12:00,4,LE,5.9,8.92,Buena,7.41
2023-10-04,09:00,5,Sistematizacion,9.31,4.53,Mala,6.92
2023-10-04,16:00,5,CB,6.22,9.13,Buena,7.675000000000001
2023-10-04,10:00,6,AULA 19,8.28,8.8,Buena,8.54
2023-10-04,10:00,6,AULA 22,6.58,5.51,Mala,6.045
2023-10-04,15:00,6,AULA 23,7.13,9.55,Buena,8.34
2023-10-04,13:00,6,AULA 20,6.25,9.16,Buena,7.705
2023-10-04,12:00,7,AULA 21,5.22,5.61,Mala,5.415
2023-10-04,16:00,7,AULA 17,5.11,8.41,Buena,6.76
2023-10-04,09:00,7,AULA 18,5.4,8.21,Buena,6.805000000000001
2023-10-04,14:00,7,NEWTON,7.97,7.19,Media,7.58
2023-10-04,15:00,8,CI,9.72,9.84,Buena,9.780000000000001
2023-10-04,09:00,9,JEFATURA,5.55,9.46,Buena,7.505000000000001
2023-10-04,15:00,10,ASISTENTES,6.66,9.77,Buena,8.215
2023-10-04,09:00,11,DIRECCION ACADEMICA,5.6,9.8,Buena,7.7
2023-10-04,10:00,12,CIIDE,5.6,8.5,Buena,7.05
2023-10-04,15:00,12,PEGA,6.37,7.49,Media,6.93
2023-10-04,12:00,12,RECURSOS FINANCIEROS,5.53,4.83,Mala,5.18
2023-10-04,09:00,13,AULA 30,6.33,4.69,Mala,5.51
2023-10-04,15:00,13,AULA 31,6.56,8.51,Buena,7.535
2023-10-04,10:00,13,AULA 32,4.84,5.2,Mala,5.02
2023-10-04,14:00,13,AULA 33,6.0,9.48,Buena,7.74
2023-10-04,14:00,13,AULA 34,6.85,4.6,Mala,5.725
2023-10-04,09:00,14,AULA 35,5.49,7.32,Media,6.405
2023-10-04,10:00,14,AULA 36,4.6,8.55,Buena,6.575
2023-10-04,11:00,14,AULA 38,8.49,6.43,Media,7.46
2023-10-04,10:00,14,AULA 39,4.68,9.93,Buena,7.305
2023-10-04,16:00,15,AULA 1,6.99,7.69,Media,7.34
2023-10-04,15:00,15,AULA 2,5.61,9.95,Buena,7.779999999999999
2023-10-04,11:00,15,AULA 3,7.98,8.54,Buena,8.26
2023-10-04,16:00,15,Enfermeria,8.97,7.51,Media,8.24
2023-10-04,12:00,16,AULA 4,5.0,7.51,Media,6.255
2023-10-04,10:00,16,AULA 5,7.08,5.0,Mala,6.04
2023-10-04,12:00,16,AULA 6,7.42,7.39,Media,7.404999999999999
2023-10-04,14:00,17,AULA 7,5.02,5.73,Mala,5.375
2023-10-04,14:00,17,AULA 8,5.02,8.54,Buena,6.779999999999999
2023-10-04,09:00,17,AULA 9,6.66,5.76,Mala,6.21
2023-10-04,09:00,18,AULA 10,5.04,8.61,Buena,6.824999999999999
2023-10-04,09:00,18,AULA 11,8.14,9.55,Buena,8.845
2023-10-04,14:00,18,INGLES,4.55,9.25,Buena,6.9
2023-10-04,11:00,19,VINCULACION,7.31,4.76,Mala,6.035
2023-10-04,16:00,20,AULA 12,5.2,5.61,Mala,5.405
2023-10-04,13:00,20,AULA 13,6.14,4.64,Mala,5.39
2023-10-04,11:00,21,AULA 14,9.03,7.36,Media,8.195
2023-10-04,16:00,22,AULA 15,7.35,7.8,Media,7.574999999999999
2023-10-04,09:00,23,AULA 16,8.95,7.35,Media,8.149999999999999
2023-10-04,10:00,24,DIRECCION GENERAL,7.07,8.77,Buena,7.92
2023-10-05,11:00,1,Sala A,9.23,7.5,Media,8.365
2023-10-05,16:00,1,Sala C,8.98,5.53,Mala,7.255000000000001
2023-10-05,10:00,2,Sala D,7.46,6.79,Media,7.125
2023-10-05,12:00,2,Sala B,8.66,8.76,Buena,8.71
2023-10-05,10:00,3,Recepcion,7.34,7.14,Media,7.24
2023-10-05,14:00,3,Sala de maestros,9.69,9.92,Buena,9.805
2023-10-05,10:00,3,Sala E,6.64,7.49,Media,7.0649999999999995
2023-10-05,09:00,4,LE,5.69,7.59,Media,6.640000000000001
2023-10-05,15:00,5,Sistematizacion,5.0,9.09,Buena,7.045
2023-10-05,13:00,5,CB,9.06,4.66,Mala,6.86
2023-10-05,13:00,6,AULA 19,8.77,8.97,Buena,8.870000000000001
2023-10-05,10:00,6,AULA 22,6.19,9.0,Buena,7.595000000000001
2023-10-05,11:00,6,AULA 23,6.3,4.68,Mala,5.49
2023-10-05,16:00,6,AULA 20,5.12,7.95,Media,6.535
2023-10-05,13:00,7,AULA 21,6.18,9.0,Buena,7.59
2023-10-05,14:00,7,AULA 17,9.93,5.99,Mala,7.96
2023-10-05,11:00,7,AULA 18,6.3,5.74,Mala,6.02
2023-10-05,09:00,7,NEWTON,8.06,9.56,Buena,8.81
2023-10-05,16:00,8,CI,9.76,5.57,Mala,7.665
2023-10-05,15:00,9,JEFATURA,9.38,7.33,Media,8.355
2023-10-05,13:00,10,ASISTENTES,5.03,8.28,Buena,6.654999999999999
2023-10-05,15:00,11,DIRECCION ACADEMICA,8.41,6.29,Media,7.35
2023-10-05,09:00,12,CIIDE,9.76,6.13,Media,7.945
2023-10-05,12:00,12,PEGA,9.62,8.18,Buena,8.899999999999999
2023-10-05,14:00,12,RECURSOS FINANCIEROS,6.86,8.06,Buena,7.460000000000001
2023-10-05,13:00,13,AULA 30,6.88,6.36,Media,6.62
2023-10-05,10:00,13,AULA 31,5.78,7.26,Media,6.52
2023-10-05,09:00,13,AULA 32,9.0,6.98,Media,7.99
2023-10-05,13:00,13,AULA 33,4.89,4.83,Mala,4.859999999999999
2023-10-05,11:00,13,AULA 34,5.17,9.44,Buena,7.305
2023-10-05,15:00,14,AULA 35,9.32,9.27,Buena,9.295
2023-10-05,10:00,14,AULA 36,4.5,7.43,Media,5.965
2023-10-05,13:00,14,AULA 38,9.9,8.66,Buena,9.280000000000001
2023-10-05,13:00,14,AULA 39,6.77,5.75,Mala,6.26
2023-10-05,13:00,15,AULA 1,5.78,8.09,Buena,6.9350000000000005
2023-10-05,13:00,15,AULA 2,8.71,6.32,Media,7.515000000000001
2023-10-05,10:00,15,AULA 3,7.21,6.42,Media,6.8149999999999995
2023-10-05,16:00,15,Enfermeria,6.83,9.46,Buena,8.145
2023-10-05,14:00,16,AULA 4,9.47,7.54,Media,8.505
2023-10-05,09:00,16,AULA 5,8.83,9.84,Buena,9.335
2023-10-05,13:00,16,AULA 6,9.76,7.66,Media,8.71
2023-10-05,14:00,17,AULA 7,9.1,9.76,Buena,9.43
2023-10-05,12:00,17,AULA 8,7.16,4.89,Mala,6.025
2023-10-05,16:00,17,AULA 9,9.35,8.84,Buena,9.094999999999999
2023-10-05,15:00,18,AULA 10,7.53,6.1,Media,6.8149999999999995
2023-10-05,12:00,18,AULA 11,9.8,8.9,Buena,9.350000000000001
2023-10-05,14:00,18,INGLES,7.96,7.39,Media,7.675
2023-10-05,15:00,19,VINCULACION,8.6,5.35,Mala,6.975
2023-10-05,12:00,20,AULA 12,4.66,5.43,Mala,5.045
2023-10-05,09:00,20,AULA 13,8.47,9.06,Buena,8.765
2023-10-05,14:00,21,AULA 14,9.46,9.26,Buena,9.36
2023-10-05,12:00,22,AULA 15,6.08,7.06,Media,6.57
2023-10-05,10:00,23,AULA 16,5.34,7.67,Media,6.505
2023-10-05,13:00,24,DIRECCION GENERAL,9.23,9.18,Buena,9.205
2023-10-06,14:00,1,Sala A,8.49,9.48,Buena,8.985
2023-10-06,11:00,1,Sala C,5.24,7.63,Media,6.4350000000000005
2023-10-06,15:00,2,Sala D,5.57,7.54,Media,6.555
2023-10-06,16:00,2,Sala B,9.53,7.86,Media,8.695
2023-10-06,12:00,3,Recepcion,6.01,9.5,Buena,7.755
2023-10-06,16:00,3,Sala de maestros,4.99,4.74,Mala,4.865
2023-10-06,16:00,3,Sala E,6.59,6.25,Media,6.42
2023-10-06,15:00,4,LE,9.2,5.93,Mala,7.5649999999999995
2023-10-06,11:00,5,Sistematizacion,7.63,9.56,Buena,8.595
2023-10-06,15:00,5,CB,6.12,6.28,Media,6.2
2023-10-06,15:00,6,AULA 19,9.11,9.42,Buena,9.265
2023-10-06,14:00,6,AULA 22,5.15,7.06,Media,6.105
2023-10-06,10:00,6,AULA 23,7.45,8.99,Buena,8.22
2023-10-06,12:00,6,AULA 20,4.99,7.05,Media,6.02
2023-10-06,13:00,7,AULA 21,9.7,5.92,Mala,7.81
2023-10-06,14:00,7,AULA 17,9.81,9.29,Buena,9.55
2023-10-06,13:00,7,AULA 18,7.14,6.7,Media,6.92
2023-10-06,09:00,7,NEWTON,7.36,8.55,Buena,7.955
2023-10-06,09:00,8,CI,5.94,5.6,Mala,5.77
2023-10-06,16:00,9,JEFATURA,5.37,5.64,Mala,5.505
2023-10-06,09:00,10,ASISTENTES,6.85,8.52,Buena,7.685
2023-10-06,12:00,11,DIRECCION ACADEMICA,8.68,9.17,Buena,8.925
2023-10-06,16:00,12,CIIDE,8.37,9.81,Buena,9.09
2023-10-06,10:00,12,PEGA,9.61,4.98,Mala,7.295
2023-10-06,12:00,12,RECURSOS FINANCIEROS,6.15,6.43,Media,6.29
2023-10-06,09:00,13,AULA 30,9.81,6.39,Media,8.1
2023-10-06,16:00,13,AULA 31,5.79,6.02,Media,5.904999999999999
2023-10-06,09:00,13,AULA 32,5.17,8.15,Buena,6.66
2023-10-06,13:00,13,AULA 33,6.34,8.53,Buena,7.435
2023-10-06,14:00,13,AULA 34,6.28,8.97,Buena,7.625
2023-10-06,12:00,14,AULA 35,6.99,8.98,Buena,7.985
2023-10-06,14:00,14,AULA 36,4.92,7.63,Media,6.275
2023-10-06,10:00,14,AULA 38,8.12,9.19,Buena,8.655
2023-10-06,09:00,14,AULA 39,6.44,6.79,Media,6.615
2023-10-06,13:00,15,AULA 1,8.67,9.35,Buena,9.01
2023-10-06,12:00,15,AULA 2,6.94,5.85,Mala,6.395
2023-10-06,11:00,15,AULA 3,8.58,8.72,Buena,8.65
2023-10-06,13:00,15,Enfermeria,7.48,9.31,Buena,8.395
2023-10-06,11:00,16,AULA 4,9.5,9.93,Buena,9.715
2023-10-06,14:00,16,AULA 5,6.54,8.33,Buena,7.4350000000000005
2023-10-06,15:00,16,AULA 6,5.08,9.88,Buena,7.48
2023-10-06,13:00,17,AULA 7,5.64,7.33,Media,6.484999999999999
2023-10-06,14:00,17,AULA 8,9.61,7.41,Media,8.51
2023-10-06,14:00,17,AULA 9,5.58,7.75,Media,6.665
2023-10-06,12:00,18,AULA 10,6.93,8.64,Buena,7.785
2023-10-06,10:00,18,AULA 11,8.5,7.23,Media,7.865
2023-10-06,14:00,18,INGLES,8.01,4.93,Mala,6.47
2023-10-06,10:00,19,VINCULACION,6.78,8.61,Buena,7.695
2023-10-06,09:00,20,AULA 12,8.35,5.22,Mala,6.785
2023-10-06,13:00,20,AULA 13,6.21,5.25,Mala,5.73
2023-10-06,10:00,21,AULA 14,4.96,8.53,Buena,6.744999999999999
2023-10-06,09:00,22,AULA 15,7.63,9.04,Buena,8.334999999999999
2023-10-06,15:00,23,AULA 16,5.55,9.64,Buena,7.595000000000001
2023-10-06,14:00,24,DIRECCION GENERAL,9.68,8.16,Buena,8.92
2023-10-09,16:00,1,Sala A,7.56,8.84,Buena,8.2
2023-10-09,15:00,1,Sala C,9.83,7.87,Media,8.85
2023-10-09,15:00,2,Sala D,9.65,8.59,Buena,9.120000000000001
2023-10-09,16:00,2,Sala B,8.39,4.86,Mala,6.625
2023-10-09,16:00,3,Recepcion,6.93,9.43,Buena,8.18
2023-10-09,09:00,3,Sala de maestros,5.41,7.79,Media,6.6
2023-10-09,12:00,3,Sala E,5.42,4.8,Mala,5.109999999999999
2023-10-09,10:00,4,LE,5.58,9.15,Buena,7.365
2023-10-09,16:00,5,Sistematizacion,6.06,8.5,Buena,7.279999999999999
2023-10-09,10:00,5,CB,7.76,4.69,Mala,6.225
2023-10-09,14:00,6,AULA 19,7.3,5.07,Mala,6.1850000000000005
2023-10-09,15:00,6,AULA 22,4.91,8.73,Buena,6.82
2023-10-09,16:00,6,AULA 23,9.5,5.59,Mala,7.545
2023-10-09,14:00,6,AULA 20,4.68,7.21,Media,5.945
2023-10-09,11:00,7,AULA 21,8.91,7.78,Media,8.345
2023-10-09,10:00,7,AULA 17,7.26,6.52,Media,6.89
2023-10-09,13:00,7,AULA 18,9.46,9.3,Buena,9.38
2023-10-09,16:00,7,NEWTON,9.95,9.6,Buena,9.774999999999999
2023-10-09,14:00,8,CI,7.72,5.52,Mala,6.619999999999999
2023-10-09,16:00,9,JEFATURA,8.15,5.49,Mala,6.82
2023-10-09,10:00,10,ASISTENTES,8.91,6.85,Media,7.88
2023-10-09,13:00,11,DIRECCION ACADEMICA,6.26,5.82,Mala,6.04
2023-10-09,09:00,12,CIIDE,9.95,9.23,Buena,9.59
2023-10-09,14:00,12,PEGA,6.09,6.83,Media,6.46
2023-10-09,09:00,12,RECURSOS FINANCIEROS,5.84,7.51,Media,6.675
2023-10-09,12:00,13,AULA 30,9.6,8.77,Buena,9.184999999999999
2023-10-09,09:00,13,AULA 31,8.82,7.74,Media,8.280000000000001
2023-10-09,13:00,13,AULA 32,5.81,9.61,Buena,7.709999999999999
2023-10-09,16:00,13,AULA 33,7.48,8.48,Buena,7.98
2023-10-09,13:00,13,AULA 34,9.8,8.15,Buena,8.975000000000001
2023-10-09,10:00,14,AULA 35,9.13,7.21,Media,8.17
2023-10-09,09:00,14,AULA 36,6.81,9.51,Buena,8.16
2023-10-09,12:00,14,AULA 38,8.31,4.55,Mala,6.43
2023-10-09,10:00,14,AULA 39,5.44,9.6,Buena,7.52
2023-10-09,16:00,15,AULA 1,5.84,8.39,Buena,7.115
2023-10-09,09:00,15,AULA 2,8.22,5.41,Mala,6.815
2023-10-09,11:00,15,AULA 3,8.43,6.59,Media,7.51
2023-10-09,15:00,15,Enfermeria,7.71,5.66,Mala,6.6850000000000005
2023-10-09,13:00,16,AULA 4,6.97,6.22,Media,6.595
2023-10-09,16:00,16,AULA 5,8.32,5.52,Mala,6.92
2023-10-09,14:00,16,AULA 6,8.86,7.91,Media,8.385
2023-10-09,12:00,17,AULA 7,9.29,5.42,Mala,7.3549999999999995
2023-10-09,16:00,17,AULA 8,9.46,7.07,Media,8.265
2023-10-09,12:00,17,AULA 9,6.48,7.87,Media,7.175000000000001
2023-10-09,13:00,18,AULA 10,8.77,6.69,Media,7.73
2023-10-09,09:00,18,AULA 11,4.7,8.02,Buena,6.359999999999999
2023-10-09,16:00,18,INGLES,5.55,6.27,Media,5.91
2023-10-09,14:00,19,VINCULACION,9.65,6.19,Media,7.92
2023-10-09,12:00,20,AULA 12,5.08,9.03,Buena,7.055
2023-10-09,10:00,20,AULA 13,8.61,9.4,Buena,9.004999999999999
2023-10-09,10:00,21,AULA 14,6.61,5.78,Mala,6.195
2023-10-09,12:00,22,AULA 15,8.15,5.85,Mala,7.0
2023-10-09,12:00,23,AULA 16,8.05,5.8,Mala,6.925000000000001
2023-10-09,16:00,24,DIRECCION GENERAL,5.4,9.7,Buena,7.55
2023-10-10,15:00,1,Sala A,8.3,7.25,Media,7.775
2023-10-10,13:00,1,Sala C,8.07,9.78,Buena,8.925
2023-10-10,09:00,2,Sala D,4.95,5.68,Mala,5.3149999999999995
2023-10-10,15:00,2,Sala B,7.85,9.21,Buena,8.530000000000001
2023-10-10,13:00,3,Recepcion,5.61,7.2,Media,6.405
2023-10-10,14:00,3,Sala de maestros,8.86,8.74,Buena,8.8
2023-10-10,11:00,3,Sala E,9.56,5.92,Mala,7.74
2023-10-10,16:00,4,LE,5.73,5.81,Mala,5.77
2023-10-10,11:00,5,Sistematizacion,9.31,6.69,Media,8.0
2023-10-10,16:00,5,CB,5.83,9.76,Buena,7.795
2023-10-10,13:00,6,AULA 19,8.28,6.47,Media,7.375
2023-10-10,11:00,6,AULA 22,9.74,9.11,Buena,9.425
2023-10-10,11:00,6,AULA 23,9.37,9.51,Buena,9.44
2023-10-10,11:00,6,AULA 20,8.22,4.94,Mala,6.58
2023-10-10,15:00,7,AULA 21,7.44,7.18,Media,7.3100000000000005
2023-10-10,16:00,7,AULA 17,5.13,6.57,Media,5.85
2023-10-10,14:00,7,AULA 18,7.56,6.75,Media,7.154999999999999
2023-10-10,12:00,7,NEWTON,6.46,5.64,Mala,6.05
2023-10-10,10:00,8,CI,4.5,6.11,Media,5.305
2023-10-10,10:00,9,JEFATURA,4.82,6.84,Media,5.83
2023-10-10,13:00,10,ASISTENTES,6.98,6.38,Media,6.68
2023-10-10,16:00,11,DIRECCION ACADEMICA,9.68,7.55,Media,8.615
2023-10-10,12:00,12,CIIDE,7.78,5.21,Mala,6.495
2023-10-10,14:00,12,PEGA,9.73,9.8,Buena,9.765
2023-10-10,10:00,12,RECURSOS FINANCIEROS,5.98,6.92,Media,6.45
2023-10-10,16:00,13,AULA 30,8.64,9.63,Buena,9.135000000000002
2023-10-10,13:00,13,AULA 31,5.7,6.93,Media,6.3149999999999995
2023-10-10,14:00,13,AULA 32,7.05,6.94,Media,6.995
2023-10-10,16:00,13,AULA 33,9.45,8.79,Buena,9.12
2023-10-10,10:00,13,AULA 34,8.49,4.99,Mala,6.74
2023-10-10,14:00,14,AULA 35,6.43,5.44,Mala,5.9350000000000005
2023-10-10,11:00,14,AULA 36,5.77,9.24,Buena,7.505
2023-10-10,11:00,14,AULA 38,7.65,4.94,Mala,6.295
2023-10-10,15:00,14,AULA 39,5.45,8.85,Buena,7.15
2023-10-10,12:00,15,AULA 1,9.38,9.45,Buena,9.415
2023-10-10,16:00,15,AULA 2,9.23,7.35,Media,8.29
2023-10-10,09:00,15,AULA 3,9.49,9.17,Buena,9.33
2023-10-10,09:00,15,Enfermeria,5.28,8.52,Buena,6.9
2023-10-10,13:00,16,AULA 4,5.49,7.04,Media,6.265000000000001
2023-10-10,15:00,16,AULA 5,6.46,5.25,Mala,5.855
2023-10-10,11:00,16,AULA 6,7.6,7.73,Media,7.665
2023-10-10,10:00,17,AULA 7,5.85,6.38,Media,6.115
2023-10-10,10:00,17,AULA 8,7.33,6.6,Media,6.965
2023-10-10,10:00,17,AULA 9,5.47,9.78,Buena,7.625
2023-10-10,12:00,18,AULA 10,7.7,9.44,Buena,8.57
2023-10-10,14:00,18,AULA 11,8.88,8.01,Buena,8.445
2023-10-10,14:00,18,INGLES,8.81,7.16,Media,7.985
2023-10-10,12:00,19,VINCULACION,7.08,5.23,Mala,6.155
2023-10-10,13:00,20,AULA 12,9.34,5.63,Mala,7.484999999999999
2023-10-10,16:00,20,AULA 13,9.58,5.09,Mala,7.335
2023-10-10,14:00,21,AULA 14,5.94,7.7,Media,6.82
2023-10-10,12:00,22,AULA 15,9.53,5.84,Mala,7.685
2023-10-10,09:00,23,AULA 16,9.22,5.19,Mala,7.205
2023-10-10,15:00,24,DIRECCION GENERAL,8.91,5.52,Mala,7.215
2023-10-11,16:00,1,Sala A,8.37,6.91,Media,7.64
2023-10-11,12:00,1,Sala C,8.81,5.19,Mala,7.0
2023-10-11,11:00,2,Sala D,6.27,7.66,Media,6.965
2023-10-11,13:00,2,Sala B,6.37,9.87,Buena,8.12
2023-10-11,15:00,3,Recepcion,8.01,6.71,Media,7.359999999999999
2023-10-11,10:00,3,Sala de maestros,6.46,9.37,Buena,7.914999999999999
2023-10-11,13:00,3,Sala E,8.5,7.46,Media,7.98
2023-10-11,16:00,4,LE,6.74,9.02,Buena,7.88
2023-10-11,15:00,5,Sistematizacion,9.68,5.48,Mala,7.58
